candidate,sentiment,subject_matter,tweet_text,tweet_created
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:18
No candidate mentioned,Neutral,None of the above,RT @fergie_spuds: You would do a far better job @Frank_Underwood @KevinSpacey #GopDebates,8/6/15 21:18
Ted Cruz,Neutral,None of the above,RT @Mariacka: Have they only asked #TedCruz two questions? #GOPDebates,8/6/15 21:18
Ben Carson,Negative,Racial issues,RT @monaeltahawy: Can someone tell me why Ben Carson is carrying water for people who will barely let him speak? Racism much? #GOPDebates,8/6/15 21:18
Donald Trump,Negative,FOX News or Moderators,"@RWSurferGirl This #GOPDebates is so biased against Trump and others, it's not funny!",8/6/15 21:18
Scott Walker,Negative,Foreign Policy,"RT @SupermanHotMale: Scott Walker: Don't do business with Iran, just the crooked Koch Brothers... Way to go Dickhead Walker #GopDebates",8/6/15 21:18
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:18
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:18
Mike Huckabee,Negative,None of the above,"""I sympathize with child molestors"" what I assume @MikeHuckabeeGOP is saying anytime his mouth opens #GOPDebates",8/6/15 21:18
Scott Walker,Negative,None of the above,Scott Walker remembers tying a yellow ribbon.. He was 5 years old going on 6 then. Heck of a memory. #GOPdebates,8/6/15 21:18
Ted Cruz,Neutral,None of the above,RT @Mariacka: Have they only asked #TedCruz two questions? #GOPDebates,8/6/15 21:18
Donald Trump,Positive,FOX News or Moderators,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. ________ #GOPDebate  #GOPDebates",8/6/15 21:18
Donald Trump,Negative,None of the above,RT @ericstonestreet: Trump has Cam hands. #GOPDebates,8/6/15 21:18
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:18
No candidate mentioned,Negative,None of the above,Yeah I'm skipping the #GOPDebates #mentalhealth,8/6/15 21:18
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:18
No candidate mentioned,Negative,None of the above,WHY WHY WHY with ALWAYS the Reagan stuff?! #letitgo #GOPDebates,8/6/15 21:18
No candidate mentioned,Neutral,None of the above,Ronald Reagan is their go to guy forever #GOPDebates,8/6/15 21:18
Donald Trump,Negative,FOX News or Moderators,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. ________ #GOPDebate  #GOPDebates",8/6/15 21:18
Ted Cruz,Positive,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:18
No candidate mentioned,Negative,None of the above,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates",8/6/15 21:18
No candidate mentioned,Negative,None of the above,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates",8/6/15 21:18
Donald Trump,Positive,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Donald Trump,Negative,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:19
Ted Cruz,Negative,None of the above,RT @Mariacka: Have they only asked #TedCruz two questions? #GOPDebates,8/6/15 21:19
No candidate mentioned,Positive,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Donald Trump,Neutral,FOX News or Moderators,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. ________ #GOPDebate  #GOPDebates-sorry acting like democrat",8/6/15 21:19
No candidate mentioned,Positive,None of the above,Social issues next. Dis will be goooood #GOPDebates,8/6/15 21:19
Donald Trump,Neutral,None of the above,RT @ericstonestreet: Trump has Cam hands. #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Rand Paul,Negative,None of the above,RT @TheJennaBee: Rand Paul's hair will be sold as calamari after the debate. #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,None of the above,Pres Obama has more brains in his little toe than all you totally fucking idiots have in your whole families combined #BOOM #GopDebates,8/6/15 21:19
Jeb Bush,Negative,FOX News or Moderators,"RT @PuestoLoco: Cancel the primaries. Fox Party set up &amp; anointed their man Jeb Bush
#GOPDebates #CantTrustABush #morningjoe http://t.co/bg_ _",8/6/15 21:19
Mike Huckabee,Neutral,None of the above,RT @goldietaylor: Huckabee. #GOPDebates http://t.co/Zy12bdUkx9,8/6/15 21:19
No candidate mentioned,Negative,Foreign Policy,"#GOPDebates Reps. so angry about the Iran Deal, fair enough, but please offer a solution instead of whining about an attempt at peace/talks",8/6/15 21:19
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: I'm really really really pissed off at FOX News for what they did to @realDonaldTrump #GOPDebate  #GOPDebates ________,8/6/15 21:19
Rand Paul,Negative,None of the above,RT @TheJennaBee: Rand Paul's hair will be sold as calamari after the debate. #GOPDebates,8/6/15 21:19
Donald Trump,Negative,None of the above,RT @ericstonestreet: Trump has Cam hands. #GOPDebates,8/6/15 21:19
Mike Huckabee,Negative,None of the above,@GovMikeHuckabee no one takes you seriously #GOPDebates,8/6/15 21:19
Scott Walker,Negative,Foreign Policy,"RT @SupermanHotMale: Scott Walker: Don't do business with Iran, just the crooked Koch Brothers... Way to go Dickhead Walker #GopDebates",8/6/15 21:19
Donald Trump,Positive,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,None of the above,RT @_HerKing__: For your entertainment. #GOPDebates http://t.co/rEAvo89PTj,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Ben Carson,Negative,Racial issues,RT @monaeltahawy: Can someone tell me why Ben Carson is carrying water for people who will barely let him speak? Racism much? #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Donald Trump,Negative,None of the above,RT @ScottLinnen: You screwed Atlantic City more ways than the Kama Sutra with Trump Taj Mahal. #GOPDebates,8/6/15 21:19
Rand Paul,Neutral,None of the above,RT @TheJennaBee: Rand Paul's hair will be sold as calamari after the debate. #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Scott Walker,Negative,Foreign Policy,"RT @SupermanHotMale: Scott Walker: Don't do business with Iran, just the crooked Koch Brothers... Way to go Dickhead Walker #GopDebates",8/6/15 21:19
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,None of the above,These candidates know that stupid pipeline doesn't give any oil to the states right? Why would you be for that crap? #GOPDebates,8/6/15 21:19
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Rand Paul,Negative,None of the above,RT @TheJennaBee: Rand Paul's hair will be sold as calamari after the debate. #GOPDebates,8/6/15 21:19
Donald Trump,Positive,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:19
Donald Trump,Negative,None of the above,Trump has a FRESH Gaussian blur on that hair #Republicandebate #GopDebates,8/6/15 21:19
Jeb Bush,Negative,None of the above,#GOPDebates if Jed bush wins presidency does that mean we get more of that hilarious show LIL BUSH? _____‰_,8/6/15 21:19
No candidate mentioned,Negative,None of the above,RT @jsc1835: #GOPDebates  I'd like to see this bunch of losers work a construction until they're 70 years old.  #Delusional,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:19
Ben Carson,Negative,None of the above,RT @monaeltahawy: Can someone tell me why Ben Carson is carrying water for people who will barely let him speak? Racism much? #GOPDebates,8/6/15 21:19
Rand Paul,Negative,Foreign Policy,"RT @jsc1835: Dear Rand Paul: Did you READ the Iran Agreement?  .. I doubt it.
#GOPDebates",8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Donald Trump,Neutral,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:19
Jeb Bush,Negative,None of the above,"Ok. This has gotten boring now. See you soon, Jeb. @GOP #GOPDebate #GOPDebate2016 #GOPDebates #PresidentialDebate",8/6/15 21:19
Mike Huckabee,Neutral,None of the above,Oh here we go for Mr. Adelson love #Israel #Huckster #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,None of the above,RT @jsc1835: #GOPDebates  I'd like to see this bunch of losers work a construction until they're 70 years old.  #Delusional,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Mike Huckabee,Positive,None of the above,Great answer @GovMikeHuckabee #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Donald Trump,Positive,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:19
Donald Trump,Negative,FOX News or Moderators,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. ________ #GOPDebate  #GOPDebates",8/6/15 21:19
Chris Christie,Negative,None of the above,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. ________ #GOPDebates  #GOPDebates,8/6/15 21:19
No candidate mentioned,Negative,Foreign Policy,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates",8/6/15 21:19
Donald Trump,Negative,None of the above,RT @SupermanHotMale: Donald Trump: I have never gone bankrupt... Really donald? REALLY DONALD? You fucking liar... #GopDebates,8/6/15 21:19
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:19
Jeb Bush,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. ________ #GOPDebates  #GOPDebates,8/6/15 21:19
No candidate mentioned,Neutral,None of the above,"RT @craiggasscomedy: Something about invoking the name Ronald Reagan that makes conservatives start hushing up and going, ""Ooohhhhh...."" #S_ _",8/6/15 21:20
No candidate mentioned,Negative,Foreign Policy,I wish they_ _d ask which politicians actually read the Iran deal. #GOPDebates,8/6/15 21:20
Jeb Bush,Negative,None of the above,RT @grimmtales02: #GOPDebates if Jed bush wins presidency does that mean we get more of that hilarious show LIL BUSH? _____‰_,8/6/15 21:20
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,Foreign Policy,What are the republican candidates going to do to keep nuclear weapons out of the wrong hands? #GOPDebates,8/6/15 21:20
Jeb Bush,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. ________ #GOPDebates  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,None of the above,RT @SupermanHotMale: Pres Obama has more brains in his little toe than all you totally fucking idiots have in your whole families combined _ _,8/6/15 21:20
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:20
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,None of the above,@Ali_Davis My money's on sickoqueer #GOPdebates,8/6/15 21:20
No candidate mentioned,Neutral,None of the above,RT @SupermanHotMale: Pres Obama has more brains in his little toe than all you totally fucking idiots have in your whole families combined _ _,8/6/15 21:20
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:20
Ted Cruz,Positive,None of the above,Ted Cruz appears to be the oddan put so far. More Ted please #FoxNews #GOPDebates,8/6/15 21:20
Donald Trump,Positive,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:20
Donald Trump,Negative,None of the above,RT @SupermanHotMale: Donald Trump: I have never gone bankrupt... Really donald? REALLY DONALD? You fucking liar... #GopDebates,8/6/15 21:20
Donald Trump,Positive,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:20
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:20
No candidate mentioned,Positive,None of the above,"Social issues. Well, this is just gonna be too much fun. #GOPDebates http://t.co/S9ODN2Zr5g",8/6/15 21:20
No candidate mentioned,Negative,None of the above,RT @ncsr18: Muppet show. #GOPdebates,8/6/15 21:20
Mike Huckabee,Neutral,None of the above,RT @goldietaylor: Huckabee. #GOPDebates http://t.co/Zy12bdUkx9,8/6/15 21:20
No candidate mentioned,Negative,None of the above,RT @SupermanHotMale: Pres Obama has more brains in his little toe than all you totally fucking idiots have in your whole families combined _ _,8/6/15 21:20
Donald Trump,Negative,None of the above,"RT @fsxbc: Trump sez- Four, FOUR times I've taken advantage of the law, and as your prez, I'd be honored to do it again. #GOPDebates",8/6/15 21:20
Ted Cruz,Negative,None of the above,RT @Mariacka: Have they only asked #TedCruz two questions? #GOPDebates,8/6/15 21:20
Jeb Bush,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. ________ #GOPDebates  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,None of the above,"#GOPDebate #gopdebates #TheDayOne question: I'd vote for the guy who's says ""On Day One? I'm gonna chill. I'm f'kin exhausted, dude.""",8/6/15 21:20
Donald Trump,Positive,None of the above,#Trump is killing me in the #GOPDebates. Loved his #AtlanticCity zinger to #ChrisChristie. And how condescending he was to the moderator.,8/6/15 21:20
No candidate mentioned,Negative,None of the above,"Wait, they haven't hit social issues yet? #GOPDebates - the gift that keeps on giving.",8/6/15 21:20
No candidate mentioned,Negative,Racial issues,RT @monaeltahawy: I'll tell you the one good thing about #GOPDebates: candidates are tripping over themselves to outdo each other in sexism_ _,8/6/15 21:20
Donald Trump,Neutral,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:20
Donald Trump,Positive,FOX News or Moderators,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. ________ #GOPDebate  #GOPDebates",8/6/15 21:20
Donald Trump,Positive,FOX News or Moderators,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. ________ #GOPDebate  #GOPDebates",8/6/15 21:20
No candidate mentioned,Negative,None of the above,RT @SupermanHotMale: Pres Obama has more brains in his little toe than all you totally fucking idiots have in your whole families combined _ _,8/6/15 21:20
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:20
No candidate mentioned,Neutral,None of the above,"Something about invoking the name Ronald Reagan that makes conservatives start hushing up and going, ""Ooohhhhh...."" #SafeWord #GOPDebates",8/6/15 21:20
No candidate mentioned,Positive,None of the above,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates",8/6/15 21:20
Donald Trump,Positive,None of the above,"@kvlxi19xx Yes he does and never claimed that he would do that.
#DUH #DonaldTrump  #GOPDebates",8/6/15 21:20
Mike Huckabee,Negative,None of the above,What about the Manson Family? #GOPDebates  https://t.co/mz3W3oRACw,8/6/15 21:20
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,None of the above,Tax the pimps! #GOPdebates,8/6/15 21:20
Mike Huckabee,Negative,None of the above,You know. Huckabee- I can see it. It's like this country is overflowing with pimps... __—ê#GOPDebates,8/6/15 21:20
Donald Trump,Negative,None of the above,RT @b140_tweet: Does this remind  you of #Trump's lips #GOPDebates http://t.co/Ph9L6DrInF,8/6/15 21:20
Mike Huckabee,Negative,None of the above,RT @Kiarri_: Huckabee looks like one of those Muppets up in the balcony. His name even sounds like one. #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,None of the above,RT @SupermanHotMale: Pres Obama has more brains in his little toe than all you totally fucking idiots have in your whole families combined _ _,8/6/15 21:20
No candidate mentioned,Negative,Foreign Policy,Ignore the fact that our Allies negotiated the Iran deal with us. Why not just bomb them?  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,FOX News or Moderators,_ _@JimmyJames38: Why is Huckster getting so much air time? #GOPDebates_ ù maybe because he's worked for Fox News?,8/6/15 21:20
Donald Trump,Positive,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:20
Donald Trump,Neutral,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:20
Ted Cruz,Neutral,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:20
No candidate mentioned,Neutral,None of the above,"""Social issues... next.""
Uh oh.
#GOPdebates http://t.co/8LveUHTJuj",8/6/15 21:20
No candidate mentioned,Neutral,None of the above,I wish they would show out takes of Dick Cheney #GOPdebates,8/6/15 21:20
Donald Trump,Neutral,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:20
Donald Trump,Negative,None of the above,Does #donaldtrump know that the USA can't declare bankruptcy and stiff our Chinese creditors?  #askingforafriend #gopdebates,8/6/15 21:20
Donald Trump,Negative,FOX News or Moderators,"RT @RWSurferGirl: I am wondering what Fox is up to with THIS debate -- get rid of Trump, Paul, Cruz, Carson? ________ #GOPDebates  #GOPDebate",8/6/15 21:20
Donald Trump,Positive,FOX News or Moderators,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. ________ #GOPDebate  #GOPDebates",8/6/15 21:20
No candidate mentioned,Neutral,None of the above,RT @_alexandragold_: *Roots for small businesses* *Campaign is almost completely funded through large corporations* #GOPDebates,8/6/15 21:20
Donald Trump,Neutral,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,None of the above,Damn... I'd turn Republican for this. #GOPDebates http://t.co/jP3gDzjWCm,8/6/15 21:20
No candidate mentioned,Negative,None of the above,RT @fergie_spuds: You would do a far better job @Frank_Underwood @KevinSpacey #GopDebates,8/6/15 21:20
No candidate mentioned,Negative,None of the above,"Ugh, every time the GOP invokes Reagan it means the Redline is on delay_ _again #GOPDebates #ZombieReaganRises",8/6/15 21:20
Donald Trump,Negative,FOX News or Moderators,"@megynkelly and @BretBaier are the GOP's new Trump attack dog.  
Never saw that coming.  
#GOPDebates @FoxNews #Shameful",8/6/15 21:20
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:20
Ben Carson,Neutral,None of the above,having @hannibalburess RT me might have made this and all #GOPDebates worth it. #hardswoon,8/6/15 21:20
Donald Trump,Positive,FOX News or Moderators,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. ________ #GOPDebate  #GOPDebates",8/6/15 21:20
Mike Huckabee,Neutral,Gun Control,"HEADLINE: Huckabee comes out strong for Gun Reform: ""If someone points a gun at you...take them seriously."" #GOPDebates #NRA",8/6/15 21:20
Donald Trump,Neutral,None of the above,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. ________ #GOPDebate  #GOPDebates,8/6/15 21:20
Mike Huckabee,Neutral,None of the above,RT @goldietaylor: Huckabee. #GOPDebates http://t.co/Zy12bdUkx9,8/6/15 21:20
Jeb Bush,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. ________ #GOPDebates  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. ________  #GOPDebate  #GOPDebates,8/6/15 21:20
No candidate mentioned,Negative,Racial issues,RT @monaeltahawy: I'll tell you the one good thing about #GOPDebates: candidates are tripping over themselves to outdo each other in sexism_ _,8/6/15 21:20
No candidate mentioned,Neutral,None of the above,@CapehartJ not if mentioned in debate. #GOPDebates,8/6/15 21:21
Marco Rubio,Positive,None of the above,"RT @OnceUponALiz: I'm about as Bernie Sanders as they come, but my god, HOW is Marco Rubio not ahead of his race by 40+ points? #GOPDebates",8/6/15 21:21
Scott Walker,Neutral,None of the above,"Hey, Walker- let's take a look at Wisconsin versus Minnesota how about #NumberOneStateByPolitico #NumberOneForBusiness #GOPDebates",8/6/15 21:21
No candidate mentioned,Neutral,None of the above,"RT @joeynovick: #GOPDebate #gopdebates #TheDayOne question: I'd vote for the guy who's says ""On Day One? I'm gonna chill. I'm f'kin exhaust_ _",8/6/15 21:21
Donald Trump,Negative,None of the above,"RT @marymauldin: Dig into everyone's financials if you are doing that to #Trump ! 
#GOPDebates",8/6/15 21:21
Donald Trump,Positive,FOX News or Moderators,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. ________ #GOPDebate  #GOPDebates",8/6/15 21:21
No candidate mentioned,Negative,FOX News or Moderators,"Total Theatre on Fox news tonight, no basis in fact at all... it's all garbage. #GopDebates",8/6/15 21:21
Donald Trump,Positive,None of the above,"#GOPdebates Huckabee, Rubio, Paul, and Walker get a well done, but Trump battled the #FoxFire and won.",8/6/15 21:21
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. ________ #GOPDebate_ _,8/6/15 21:21
Donald Trump,Positive,FOX News or Moderators,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. ________ #GOPDebate_ _,8/6/15 21:21
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. ________ #GOPDebate_ _,8/6/15 21:21
No candidate mentioned,Positive,None of the above,Huckster is on fire! I'm starting to think he's really interested in running for president...for the first time. #GOPDebates #tcot #TLOT,8/6/15 21:21
No candidate mentioned,Negative,Foreign Policy,The candidates talk about Iran like gamers talk about enemies in Destiny.Take out Iran! Obama can't get us to level 32! #GOPdebates,8/6/15 21:21
Ted Cruz,Negative,None of the above,RT @Mariacka: Have they only asked #TedCruz two questions? #GOPDebates,8/6/15 21:21
Donald Trump,Negative,FOX News or Moderators,"RT @marymauldin: Dig into everyone's financials if you are doing that to #Trump ! 
#GOPDebates",8/6/15 21:21
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. ________ #GOPDebate_ _,8/6/15 21:21
No candidate mentioned,Negative,None of the above,I've always hoped a mailman's son would make it in to office. They understand everyone's plight-- lost mail. #GOPDebates,8/6/15 21:21
Donald Trump,Positive,FOX News or Moderators,"RT @RWSurferGirl: Thanks Fox News, you're raising @realDonaldTrump 's ratings. ________ #GOPDebate  #GOPDebates",8/6/15 21:21
Jeb Bush,Negative,None of the above,".@dthomicide
Cancel primaries. Fox Party set up &amp; anointed their man Jeb Bush
#GOPDebates #CantTrustABush #morningjoe http://t.co/bgzYsySfSU",8/6/15 21:21
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. ________ #GOPDebate_ _,8/6/15 21:21
Mike Huckabee,Negative,Jobs and Economy,RT @MaryFolley: Huckabee tax plan gonna make it hard out here for the pimps. And the hos. And the drug dealers. #GOPDebates,8/6/15 21:21
Mike Huckabee,Negative,None of the above,RT @Kiarri_: Huckabee looks like one of those Muppets up in the balcony. His name even sounds like one. #GOPDebates,8/6/15 21:21
